wage,wagek,ethnicity,educ,mother_education,father_education,walk,exercise,smokenow,tense,angry,age,gender
30000,30,White,14,14,14,8,5,2,0,0,76,Male
0,0,White,12,12,12,6,6,2,2,2,30,Female
4000,4,Black,15,15,15,4,4,2,4,4,22,Female
5000,5,Black,11,11,11,8,1,2,2,2,18,Female
26000,26,Black,13,13,13,7,7,2,0,0,37,Female
5000,5,White,9,9,NA,8,4,2,0,0,53,Female
15000,15,White,9,9,9,1,1,1,7,7,23,Female
15000,15,Black,12,12,12,4,4,1,7,7,30,Female
5000,5,Black,12,12,12,7,7,2,1,1,25,Female
23000,23,Black,12,12,12,8,7,1,4,4,35,Male
21000,21,White,12,12,12,8,1,1,7,7,33,Male
25000,25,White,12,12,12,5,1,2,3,3,62,Female
18000,18,White,16,NA,16,4,1,2,1,1,75,Male
4000,4,White,13,13,13,4,6,2,0,0,44,Female
23900,23.9,White,12,12,12,8,7,2,2,2,22,Female
35000,35,White,12,NA,NA,8,5,2,0,0,68,Male
35000,35,White,18,18,18,3,6,2,1,1,40,Female
26000,26,White,14,14,14,1,4,1,3,3,30,Male
25000,25,White,16,16,16,2,2,2,1,1,36,Male
23500,23.5,White,13,13,13,2,4,1,7,7,27,Female
12000,12,White,12,12,12,1,1,2,1,1,22,Female
15000,15,White,12,12,12,5,6,2,2,2,20,Female
25000,25,White,8,NA,NA,7,1,2,0,0,67,Female
3000,3,White,17,17,17,5,6,2,0,0,23,Male
15000,15,White,12,12,12,2,1,2,0,0,68,Female
20000,20,White,12,12,12,1,7,2,0,0,37,Female
6000,6,White,12,12,12,8,1,2,2,2,67,Female
14000,14,White,12,12,12,1,1,2,0,0,69,Male
15000,15,White,16,16,16,3,1,2,2,2,31,Female
0,0,White,12,12,12,3,1,1,1,1,51,Female
62000,62,White,16,16,16,5,1,2,1,1,70,Female
1000,1,White,18,18,18,7,7,2,3,3,25,Male
10000,10,White,14,14,14,6,2,2,0,0,63,Female
45000,45,White,13,NA,13,4,1,2,0,0,82,Male
15000,15,White,12,NA,NA,1,1,1,0,0,81,Female
45000,45,White,15,15,15,8,1,2,0,0,79,Female
50000,50,White,18,18,18,4,1,1,2,2,52,Female
20000,20,White,13,13,NA,8,1,2,4,4,41,Female
5000,5,White,12,12,12,2,6,1,2,2,42,Male
35000,35,White,16,16,16,1,7,2,2,2,30,Male
40000,40,White,16,16,16,4,7,2,0,0,28,Male
35000,35,White,12,12,12,8,7,2,0,0,72,Female
25000,25,White,12,12,12,8,2,1,1,1,33,Male
50000,50,White,16,16,16,4,4,2,0,0,54,Female
100000,100,White,18,18,18,5,1,1,0,0,57,Male
35000,35,White,13,NA,NA,1,7,1,0,0,28,Male
0,0,White,12,12,12,5,5,2,2,2,51,Female
24000,24,White,12,12,12,3,1,1,0,0,35,Female
0,0,White,12,12,12,4,1,1,4,4,30,Female
25000,25,White,14,14,14,8,1,2,2,2,35,Female
0,0,White,12,12,NA,2,1,2,0,0,60,Female
35000,35,White,17,17,17,6,1,1,0,0,43,Male
38000,38,White,16,NA,NA,7,5,2,0,0,74,Male
35000,35,White,13,13,13,8,4,1,0,0,29,Male
25000,25,White,8,8,8,8,1,2,0,0,76,Female
30000,30,White,12,12,12,8,6,2,0,0,52,Male
5000,5,Hispanic,12,12,NA,5,1,2,2,2,39,Female
148000,148,White,18,18,18,1,4,2,0,0,38,Male
30000,30,White,12,12,12,2,1,2,0,0,32,Male
6500,6.5,White,15,15,15,8,6,2,1,1,31,Female
3000,3,White,16,16,16,8,2,2,7,7,37,Female
25000,25,White,15,15,NA,8,1,1,0,0,75,Male
0,0,White,8,NA,8,1,1,1,2,2,53,Female
23000,23,White,18,18,18,3,6,2,0,0,69,Male
45000,45,White,18,NA,18,4,1,2,1,1,65,Male
35000,35,White,16,16,16,8,1,2,0,0,36,Female
40000,40,White,17,17,17,8,6,2,2,2,41,Male
30000,30,White,14,14,14,8,2,2,1,1,39,Male
0,0,White,14,14,14,8,2,1,7,7,29,Female
14000,14,White,12,12,NA,6,5,1,0,0,37,Female
15000,15,White,12,12,12,8,1,2,7,7,34,Female
26000,26,White,18,18,18,4,2,1,0,0,36,Female
8000,8,White,12,12,12,8,7,1,7,7,25,Female
24000,24,Black,16,16,16,8,6,1,4,4,27,Female
0,0,White,8,8,8,5,5,1,0,0,20,Male
0,0,White,12,12,12,8,2,1,7,7,25,Female
0,0,White,10,10,10,8,5,2,3,3,38,Female
15000,15,White,12,NA,NA,1,1,2,0,0,40,Male
5124,5.124,White,8,8,8,1,1,1,3,3,67,Male
10000,10,White,15,15,15,2,4,2,3,3,25,Female
5000,5,White,7,NA,NA,5,1,1,1,1,38,Female
5000,5,Black,13,13,13,8,5,2,0,0,20,Female
0,0,White,13,13,NA,8,7,2,1,1,19,Female
12000,12,White,16,16,16,7,1,2,7,7,32,Female
0,0,White,12,12,12,5,7,1,7,7,23,Female
50000,50,White,17,17,17,7,6,2,0,0,34,Male
136500,136.5,White,16,16,16,5,5,1,0,0,41,Male
23000,23,White,13,13,13,4,2,2,1,1,26,Female
0,0,White,16,16,16,7,1,2,1,1,40,Female
25000,25,White,12,12,12,4,1,2,0,0,69,Female
5000,5,White,9,NA,NA,5,1,2,0,0,69,Female
5000,5,White,12,NA,NA,8,1,2,1,1,91,Female
5000,5,White,12,12,12,8,1,2,5,5,18,Female
15000,15,White,12,12,12,8,7,1,0,0,38,Female
5000,5,White,14,14,14,7,2,2,0,0,19,Female
40000,40,Black,14,14,14,8,7,1,0,0,34,Male
6000,6,Black,13,13,13,7,1,2,7,7,26,Female
100000,100,White,18,18,NA,8,5,2,0,0,77,Male
5000,5,Black,16,16,16,8,1,2,7,7,30,Female
45000,45,White,8,NA,NA,8,1,1,7,7,52,Female
25000,25,Black,12,12,12,8,5,2,0,0,26,Female
110000,110,White,18,18,18,5,5,2,0,0,37,Male
25000,25,White,13,13,13,8,4,1,2,2,37,Female
41000,41,Hispanic,13,NA,NA,8,7,2,0,0,32,Male
25000,25,White,12,12,NA,5,6,2,0,0,55,Female
23000,23,White,13,13,13,4,4,2,0,0,78,Female
15000,15,White,14,NA,14,8,5,2,0,0,78,Female
0,0,White,12,12,12,7,5,2,7,7,32,Female
21000,21,White,12,12,12,8,7,1,1,1,23,Male
4000,4,White,12,12,12,5,1,1,7,7,29,Female
25000,25,White,12,12,12,8,4,1,0,0,36,Male
30000,30,White,18,18,18,4,7,1,1,1,46,Male
14000,14,White,11,11,NA,8,1,2,0,0,51,Female
6000,6,White,12,12,12,3,2,1,7,7,35,Female
14000,14,White,12,12,12,2,1,1,0,0,46,Female
43000,43,White,12,12,12,1,6,2,6,6,27,Male
25000,25,White,15,15,15,8,5,1,7,7,33,Female
40000,40,White,12,12,12,8,1,2,0,0,66,Male
25000,25,White,16,16,16,8,1,2,0,0,73,Female
65000,65,White,17,17,17,5,5,2,3,3,40,Male
16000,16,White,15,15,15,3,4,2,0,0,32,Male
136500,136.5,White,16,16,16,1,1,1,0,0,65,Male
87000,87,White,18,NA,NA,1,6,2,0,0,54,Male
8000,8,White,12,12,12,8,1,2,0,0,71,Female
20000,20,White,15,15,15,4,4,2,4,4,39,Female
14000,14,White,14,14,14,1,1,2,0,0,72,Female
45000,45,White,12,12,12,8,1,2,0,0,74,Male
8000,8,White,11,NA,NA,1,1,2,0,0,72,Female
15000,15,White,10,NA,10,3,1,1,0,0,71,Female
12000,12,White,12,12,NA,5,4,1,0,0,28,Male
8000,8,White,14,14,14,5,5,2,0,0,31,Female
16000,16,White,15,15,15,1,1,2,2,2,32,Female
25000,25,White,12,NA,NA,1,2,2,0,0,43,Female
6000,6,White,15,15,15,7,1,1,7,7,73,Male
136500,136.5,White,12,NA,12,4,7,2,1,1,45,Female
19000,19,White,12,12,12,8,6,2,0,0,32,Male
21000,21,White,13,13,13,6,3,1,5,5,39,Female
43000,43,White,18,18,18,7,3,2,1,1,46,Female
35000,35,White,15,15,15,7,7,2,0,0,21,Male
8000,8,White,10,NA,NA,8,2,2,0,0,75,Male
21000,21,White,14,14,14,7,1,1,1,1,41,Female
5800,5.8,White,12,12,12,8,5,2,5,5,30,Female
17000,17,White,12,NA,NA,5,1,2,0,0,46,Male
45000,45,White,12,NA,NA,2,2,1,2,2,42,Female
24000,24,White,14,14,14,4,3,1,2,2,49,Male
5000,5,White,11,11,NA,1,1,2,3,3,71,Female
62000,62,White,11,11,11,1,1,2,0,0,48,Male
11000,11,White,12,12,12,8,1,1,3,3,23,Female
10000,10,White,13,NA,13,5,1,2,0,0,27,Male
40000,40,White,14,14,14,4,4,2,0,0,36,Male
0,0,Black,12,NA,12,8,5,2,0,0,37,Female
40000,40,White,12,NA,NA,8,4,1,0,0,47,Male
24000,24,Black,14,NA,NA,8,2,2,3,3,29,Female
50000,50,Black,18,18,18,8,7,2,0,0,34,Male
25000,25,White,12,12,12,6,2,1,3,3,25,Female
24000,24,White,16,16,16,1,3,2,0,0,26,Male
20000,20,White,16,16,16,8,3,2,0,0,33,Male
15000,15,White,16,16,16,8,5,2,0,0,23,Female
60000,60,White,18,18,18,3,1,2,0,0,50,Male
11000,11,White,13,13,13,5,1,2,0,0,47,Female
5000,5,White,15,15,15,8,2,2,7,7,40,Female
136500,136.5,White,17,17,17,8,6,2,0,0,84,Female
87000,87,White,18,18,18,8,5,2,5,5,39,Male
27000,27,White,16,16,16,7,5,2,0,0,30,Female
89000,89,White,16,16,16,8,1,2,2,2,41,Male
40000,40,White,14,14,14,8,4,2,2,2,28,Male
15000,15,White,16,16,16,8,7,2,0,0,26,Female
1000,1,White,14,14,14,8,6,2,0,0,20,Female
0,0,White,12,12,12,4,1,1,7,7,28,Female
22000,22,White,12,12,12,5,1,2,0,0,60,Female
12000,12,White,8,8,8,1,1,1,0,0,48,Female
22000,22,White,16,16,16,4,2,2,2,2,28,Female
40000,40,Black,12,12,NA,8,1,2,0,0,56,Female
25000,25,Black,10,NA,NA,2,6,2,2,2,55,Male
0,0,White,12,12,12,8,6,2,0,0,58,Female
62000,62,White,16,16,16,7,7,2,3,3,40,Female
40000,40,White,16,16,16,5,1,2,0,0,44,Female
0,0,White,13,13,13,6,7,2,0,0,42,Female
35000,35,Hispanic,14,14,14,4,2,2,0,0,53,Female
7000,7,White,12,12,12,8,1,2,0,0,28,Female
25000,25,White,14,14,NA,8,1,2,0,0,40,Male
14000,14,White,12,12,12,6,2,2,0,0,37,Female
5000,5,White,12,12,12,8,1,2,1,1,20,Female
15000,15,White,12,12,12,2,1,2,0,0,56,Female
0,0,Black,14,14,14,1,1,2,0,0,31,Female
6000,6,White,13,13,13,7,6,2,0,0,34,Female
11000,11,Black,12,NA,NA,1,1,2,7,7,41,Female
10000,10,White,13,13,13,4,1,2,0,0,31,Female
0,0,White,12,12,NA,8,1,2,1,1,59,Female
5000,5,White,12,12,12,4,4,1,4,4,32,Female
20000,20,White,14,14,14,8,5,2,2,2,41,Male
35000,35,White,12,NA,NA,7,1,2,0,0,56,Female
7000,7,White,12,12,12,4,1,2,0,0,73,Female
38000,38,White,9,9,9,8,2,2,1,1,46,Male
29000,29,White,9,NA,NA,4,1,1,1,1,58,Male
20000,20,White,10,10,NA,4,1,2,0,0,44,Female
8000,8,White,12,12,12,4,1,1,0,0,57,Female
36000,36,White,16,16,16,8,1,2,0,0,51,Male
1500,1.5,White,12,12,12,7,7,2,1,1,44,Female
42000,42,White,18,18,18,6,5,2,1,1,29,Female
35000,35,White,17,17,17,8,1,1,1,1,44,Female
25000,25,White,12,12,12,1,7,1,0,0,22,Male
5000,5,White,9,9,9,3,6,2,0,0,18,Male
13000,13,White,10,10,10,1,1,1,0,0,20,Male
20000,20,White,11,11,11,4,1,2,0,0,64,Female
10000,10,White,12,NA,NA,8,1,2,1,1,71,Female
50000,50,Other,15,15,15,8,5,1,3,3,49,Male
30000,30,Black,11,11,11,8,1,2,0,0,51,Male
7000,7,White,12,NA,NA,7,6,2,0,0,23,Male
15000,15,Black,12,12,12,8,1,2,0,0,82,Female
31000,31,Black,12,NA,NA,8,1,1,7,7,48,Female
15000,15,Black,12,12,12,2,2,2,3,3,42,Female
0,0,White,18,18,NA,2,1,2,4,4,41,Female
50000,50,White,16,16,16,7,2,2,1,1,49,Male
5000,5,Hispanic,11,11,11,1,1,2,3,3,18,Female
5000,5,White,15,15,15,8,7,2,0,0,20,Male
600,0.6,Black,12,12,12,7,6,2,3,3,18,Female
14000,14,Black,8,8,NA,8,1,2,0,0,51,Female
40000,40,Other,18,18,18,8,1,2,0,0,35,Female
24000,24,White,18,18,18,5,7,2,5,5,36,Male
25000,25,Black,12,NA,NA,8,1,2,0,0,59,Female
22000,22,Black,12,12,NA,1,5,1,7,7,24,Male
20000,20,White,8,8,8,4,1,1,1,1,36,Male
20112,20.112,White,12,NA,NA,8,5,1,3,3,38,Female
12000,12,White,13,13,13,7,1,1,1,1,67,Male
15000,15,Black,8,NA,NA,8,6,1,0,0,37,Male
20000,20,White,18,18,18,7,7,1,0,0,69,Male
5000,5,White,8,8,8,4,1,2,0,0,44,Female
41000,41,White,13,13,13,7,1,2,1,1,40,Female
13000,13,Black,9,9,9,8,1,2,0,0,50,Male
0,0,White,12,12,12,5,5,2,3,3,25,Female
60000,60,White,16,16,16,1,4,1,0,0,31,Male
24000,24,White,16,16,16,8,7,2,4,4,25,Male
38000,38,White,16,16,16,1,7,2,6,6,36,Male
3000,3,White,14,14,14,3,2,2,4,4,27,Female
13000,13,White,12,12,12,4,2,1,0,0,30,Female
5000,5,White,12,12,12,1,2,1,2,2,21,Male
20000,20,White,14,14,14,4,5,2,5,5,37,Female
22000,22,White,12,12,12,4,7,2,5,5,28,Male
35000,35,White,14,14,14,1,1,2,2,2,40,Female
0,0,Black,16,16,16,3,7,2,1,1,23,Female
28000,28,Black,9,NA,NA,8,4,2,0,0,55,Male
22000,22,White,12,12,12,6,3,1,7,7,41,Female
30000,30,Black,12,NA,12,8,5,2,1,1,44,Male
5000,5,Black,6,NA,NA,8,1,2,0,0,70,Male
30000,30,Black,12,12,NA,2,1,2,7,7,32,Female
35000,35,White,17,17,17,8,1,2,0,0,63,Female
30000,30,White,16,16,16,8,4,2,0,0,31,Male
32000,32,White,12,12,12,8,1,2,0,0,69,Female
26000,26,White,17,17,17,6,5,2,4,4,43,Female
22000,22,White,14,14,14,4,6,1,1,1,34,Female
15000,15,White,14,NA,NA,5,1,2,0,0,72,Female
25000,25,White,12,12,12,6,5,2,0,0,33,Male
11000,11,White,10,10,10,8,3,1,7,7,24,Female
15000,15,White,12,NA,NA,8,1,2,0,0,33,Male
13000,13,White,12,NA,NA,5,1,1,1,1,53,Female
10000,10,White,15,15,15,7,7,1,1,1,42,Female
0,0,White,12,12,12,1,1,2,7,7,24,Female
35000,35,White,16,16,16,8,6,2,0,0,32,Male
12000,12,White,12,12,12,4,4,2,0,0,45,Female
25000,25,White,17,17,17,6,1,2,7,7,38,Female
0,0,White,13,13,13,5,7,1,0,0,57,Male
7000,7,White,11,NA,NA,8,1,1,0,0,64,Female
57000,57,White,14,14,14,2,1,1,0,0,37,Male
36000,36,White,16,16,16,8,4,2,2,2,37,Male
29000,29,Hispanic,14,14,14,7,6,2,4,4,29,Male
8000,8,White,13,13,13,8,4,2,2,2,19,Female
3000,3,Black,11,11,11,8,1,2,4,4,18,Male
0,0,White,12,12,12,5,2,2,0,0,64,Female
20000,20,White,16,16,16,8,1,2,0,0,41,Female
0,0,White,12,NA,NA,8,1,1,3,3,36,Female
33000,33,White,12,12,12,7,4,2,1,1,57,Male
15000,15,Hispanic,12,12,NA,8,1,2,0,0,68,Female
16000,16,White,12,12,12,1,1,2,1,1,33,Male
5000,5,White,12,12,12,6,7,2,2,2,78,Female
8000,8,White,14,14,14,5,4,2,3,3,43,Female
32000,32,Black,16,16,16,4,1,2,3,3,34,Female
14500,14.5,White,12,12,12,1,3,1,0,0,24,Male
13000,13,White,12,12,12,2,2,2,6,6,29,Female
5000,5,White,16,16,16,4,5,2,0,0,27,Male
5000,5,Black,12,12,12,2,1,2,0,0,34,Female
0,0,White,10,NA,NA,8,7,2,2,2,20,Female
5000,5,White,11,NA,11,4,1,2,1,1,57,Female
7000,7,White,9,9,9,7,4,2,1,1,25,Female
50000,50,Black,18,18,18,7,1,2,0,0,65,Female
12000,12,Black,12,12,12,8,2,1,3,3,35,Female
19000,19,White,14,14,14,8,6,2,0,0,61,Male
9000,9,White,12,12,12,8,7,1,0,0,55,Female
25000,25,White,12,12,12,2,2,1,4,4,38,Female
20000,20,Black,12,NA,NA,8,1,1,2,2,35,Female
55000,55,Hispanic,18,18,18,1,1,2,0,0,35,Male
15000,15,Black,12,NA,NA,2,1,2,0,0,71,Female
45000,45,White,18,18,18,6,7,1,4,4,31,Male
10000,10,White,12,12,12,8,7,1,0,0,40,Female
15000,15,White,12,12,12,8,1,2,0,0,67,Female
13000,13,White,12,12,12,2,2,1,0,0,19,Female
45000,45,White,18,18,18,7,7,2,0,0,30,Female
20000,20,White,13,13,13,1,1,1,7,7,31,Female
45000,45,White,16,16,16,6,2,2,6,6,29,Female
30000,30,White,12,12,12,8,6,2,0,0,26,Male
12000,12,White,12,12,12,8,1,2,1,1,34,Female
26000,26,White,13,NA,13,7,2,2,2,2,33,Female
12500,12.5,White,12,12,12,3,6,1,1,1,27,Female
8000,8,White,12,12,12,2,1,1,1,1,29,Female
15000,15,Hispanic,16,16,16,2,6,2,7,7,32,Female
65000,65,White,14,14,14,2,7,1,1,1,25,Male
25000,25,White,10,NA,10,8,6,1,6,6,21,Male
8000,8,Hispanic,14,14,14,4,6,2,1,1,21,Male
15000,15,Other,14,14,14,7,4,2,1,1,21,Male
12000,12,White,16,16,16,4,1,1,1,1,40,Female
35000,35,White,12,12,12,8,1,2,2,2,42,Male
35000,35,Black,13,13,13,5,6,2,2,2,37,Female
40000,40,White,16,16,16,7,6,2,0,0,31,Male
15000,15,Hispanic,14,14,14,7,2,2,1,1,24,Female
29000,29,White,12,12,12,8,4,2,0,0,22,Male
5000,5,White,10,10,10,8,1,1,0,0,74,Female
15000,15,White,12,12,12,5,4,1,7,7,33,Female
15000,15,White,13,13,13,4,2,2,1,1,31,Female
20000,20,White,12,NA,NA,4,2,2,1,1,36,Male
3000,3,Black,6,NA,NA,8,5,2,0,0,62,Male
1000,1,Black,16,16,16,8,2,2,5,5,19,Female
8000,8,Black,11,11,11,3,2,1,7,7,23,Female
5000,5,White,12,12,NA,4,6,1,1,1,18,Female
25000,25,White,16,16,16,8,5,2,2,2,27,Female
5000,5,White,13,13,13,7,5,1,0,0,22,Male
20000,20,White,12,12,12,7,4,2,0,0,57,Male
15000,15,White,12,12,12,2,1,1,0,0,26,Female
30000,30,White,12,12,12,2,2,2,0,0,34,Male
12000,12,White,12,NA,12,1,1,1,0,0,35,Female
5000,5,White,11,NA,NA,1,1,2,3,3,80,Female
0,0,White,12,12,12,7,1,1,7,7,34,Female
15000,15,White,14,14,14,8,7,2,2,2,38,Female
5000,5,Black,14,14,14,4,1,2,0,0,34,Male
15000,15,Black,10,NA,NA,5,2,2,1,1,59,Female
25000,25,White,18,NA,NA,8,1,2,0,0,78,Female
10000,10,White,14,14,14,7,1,2,1,1,32,Female
16000,16,White,12,12,12,8,1,1,0,0,19,Male
45000,45,White,12,12,12,2,5,1,0,0,29,Male
40000,40,White,14,14,14,5,5,2,0,0,54,Male
15000,15,White,12,12,12,8,6,1,1,1,26,Male
0,0,White,12,12,12,4,1,2,7,7,62,Female
20000,20,White,13,13,13,8,5,1,0,0,33,Female
25000,25,White,14,NA,NA,3,1,2,0,0,81,Male
19000,19,White,14,14,14,7,5,1,0,0,52,Female
17600,17.6,White,16,16,16,2,2,1,3,3,30,Female
7000,7,White,12,NA,NA,8,1,2,0,0,67,Male
30000,30,White,12,12,12,5,4,2,2,2,32,Male
18000,18,White,11,11,11,1,1,1,0,0,47,Female
15000,15,Hispanic,8,8,NA,7,1,1,0,0,41,Female
25000,25,White,16,16,16,4,2,1,2,2,47,Female
0,0,White,14,14,14,6,1,2,1,1,55,Female
6000,6,White,5,5,5,8,1,2,7,7,62,Female
70000,70,White,18,18,18,7,6,2,0,0,42,Male
15000,15,Other,16,16,16,5,1,2,0,0,34,Female
15000,15,White,12,12,12,8,1,1,0,0,61,Male
25000,25,White,17,17,17,8,1,1,0,0,33,Female
35000,35,White,16,16,16,4,6,2,0,0,28,Female
18000,18,White,16,16,16,5,3,2,0,0,24,Male
28000,28,Black,15,15,15,2,6,2,0,0,30,Male
35000,35,White,12,12,12,8,1,1,0,0,49,Female
25000,25,Hispanic,12,12,12,8,4,2,1,1,23,Male
15000,15,Hispanic,11,11,11,8,6,2,0,0,21,Female
22000,22,Hispanic,14,14,NA,7,2,1,0,0,28,Male
0,0,White,12,12,12,8,6,2,0,0,29,Female
35000,35,White,12,NA,NA,3,3,2,0,0,30,Male
18000,18,Black,15,NA,15,1,6,2,0,0,46,Female
35000,35,White,14,14,14,7,5,1,0,0,37,Male
16400,16.4,Black,12,12,12,4,1,2,5,5,21,Female
22000,22,Black,16,16,16,1,1,1,1,1,37,Male
30000,30,White,16,NA,NA,4,1,2,0,0,58,Female
17000,17,Hispanic,12,12,12,4,5,2,2,2,27,Female
25000,25,Black,14,14,14,8,6,2,7,7,36,Female
10000,10,White,12,12,12,6,1,1,3,3,51,Female
40000,40,White,12,12,12,1,3,2,1,1,37,Male
12500,12.5,White,12,12,12,2,1,2,0,0,63,Female
15000,15,White,12,NA,NA,1,1,2,0,0,77,Female
10000,10,White,12,12,NA,7,3,2,7,7,30,Female
35000,35,White,15,NA,NA,1,1,2,3,3,45,Male
0,0,Hispanic,16,16,16,8,6,2,2,2,23,Female
105000,105,White,12,12,12,2,2,1,1,1,49,Male
25000,25,White,12,12,12,2,1,1,1,1,27,Male
100000,100,White,18,18,18,8,7,2,1,1,40,Male
25000,25,White,12,NA,NA,1,1,1,0,0,61,Female
21000,21,White,12,NA,12,1,1,1,0,0,51,Male
10000,10,White,14,14,14,1,1,2,7,7,56,Female
33000,33,White,12,12,12,2,1,1,3,3,26,Male
26000,26,White,18,18,18,1,7,2,0,0,25,Male
60000,60,White,10,10,NA,7,1,2,0,0,78,Female
15000,15,White,16,16,16,8,5,2,0,0,84,Female
18000,18,White,16,16,16,7,7,2,1,1,45,Male
15000,15,White,8,NA,NA,8,1,1,0,0,61,Female
5000,5,White,13,13,13,6,4,2,0,0,20,Male
60000,60,White,17,17,17,8,2,2,0,0,42,Male
12000,12,White,14,14,14,8,1,2,3,3,69,Female
28000,28,Black,18,18,18,8,1,2,0,0,38,Male
42000,42,White,18,18,18,5,6,1,0,0,43,Male
2000,2,White,12,12,12,8,1,1,0,0,33,Female
10000,10,White,16,16,16,1,1,2,1,1,54,Female
20000,20,Black,18,18,18,8,6,2,0,0,33,Male
28000,28,Other,15,15,15,8,1,2,0,0,40,Male
10000,10,Black,17,17,17,4,2,1,0,0,62,Male
0,0,White,16,NA,NA,8,1,2,0,0,65,Male
31000,31,Black,12,12,12,8,6,1,7,7,31,Male
17000,17,Black,13,13,13,7,1,2,4,4,37,Female
16000,16,White,12,NA,NA,4,1,2,3,3,39,Female
35000,35,White,15,15,15,8,1,2,0,0,38,Female
3000,3,White,12,12,12,4,1,1,7,7,26,Female
5000,5,White,11,11,11,7,6,1,1,1,78,Female
25000,25,White,10,NA,NA,1,1,1,0,0,51,Male
16000,16,White,18,18,18,8,6,2,4,4,39,Female
35000,35,Black,15,15,15,8,7,2,3,3,42,Female
27000,27,Black,17,17,17,5,1,2,0,0,33,Female
25000,25,White,17,17,17,5,5,2,1,1,29,Male
0,0,White,14,14,14,8,1,2,1,1,78,Female
40000,40,White,16,16,16,4,4,1,1,1,41,Male
45000,45,White,16,16,16,5,2,2,0,0,43,Female
14000,14,White,12,12,NA,7,1,2,2,2,23,Male
25000,25,White,14,14,14,8,1,1,0,0,37,Female
40000,40,White,12,12,12,7,5,2,0,0,42,Male
34000,34,White,12,NA,NA,6,1,1,0,0,35,Male
40000,40,White,12,NA,12,7,2,2,0,0,34,Male
25000,25,White,16,16,16,6,1,2,0,0,83,Male
35000,35,White,14,14,14,1,7,2,0,0,28,Male
12000,12,Hispanic,12,12,12,8,1,1,0,0,51,Female
30000,30,White,17,17,17,8,3,2,4,4,43,Female
23000,23,White,12,12,12,2,1,1,6,6,40,Female
2000,2,White,12,12,12,4,2,2,3,3,30,Female
20000,20,White,14,14,14,8,6,1,0,0,25,Male
10000,10,Black,9,9,NA,3,1,2,0,0,62,Female
0,0,Black,6,NA,NA,1,1,2,4,4,67,Female
25000,25,White,16,16,16,2,1,2,0,0,33,Female
5000,5,Other,12,12,12,1,1,2,7,7,19,Female
5000,5,Black,11,NA,NA,8,1,1,0,0,64,Female
60000,60,Black,16,16,16,8,1,2,0,0,43,Female
12000,12,Black,16,16,NA,4,1,1,3,3,41,Male
25000,25,White,18,18,18,2,1,2,1,1,61,Female
22000,22,Black,14,14,14,2,1,2,0,0,73,Female
0,0,White,12,12,12,4,1,1,2,2,38,Female
8000,8,White,17,17,17,2,2,2,0,0,25,Male
5000,5,White,17,17,17,8,7,2,0,0,22,Female
2000,2,White,16,16,16,7,6,2,1,1,21,Female
5000,5,White,14,14,14,8,2,2,0,0,30,Female
10000,10,White,13,13,13,7,1,2,0,0,20,Female
18600,18.6,White,16,16,16,6,6,2,0,0,26,Female
20000,20,White,14,14,14,8,7,2,0,0,20,Female
100000,100,White,18,18,18,2,1,2,0,0,37,Male
50000,50,White,15,15,15,1,1,1,2,2,40,Female
27000,27,White,12,12,12,6,5,2,1,1,42,Male
1000,1,Black,12,12,12,8,1,1,0,0,58,Female
18000,18,White,12,12,12,4,2,1,4,4,20,Male
17000,17,White,14,14,14,4,1,1,7,7,23,Female
10000,10,White,12,12,12,8,1,2,0,0,74,Female
14000,14,White,14,NA,NA,1,1,2,0,0,35,Male
7200,7.2,White,14,NA,NA,8,1,1,0,0,66,Male
0,0,Other,8,8,8,4,1,1,3,3,52,Female
33000,33,White,17,17,17,7,2,2,0,0,39,Female
23000,23,White,12,12,12,1,1,2,0,0,34,Male
10000,10,White,12,12,12,4,1,2,0,0,41,Female
22000,22,White,12,12,12,2,6,2,2,2,24,Male
13000,13,Hispanic,12,12,NA,7,1,2,2,2,19,Female
33000,33,White,12,12,12,8,6,2,3,3,31,Female
36000,36,White,12,12,12,7,1,1,0,0,36,Male
10000,10,Black,10,NA,10,8,1,2,0,0,64,Female
10000,10,Black,14,14,14,4,1,2,0,0,32,Female
6000,6,White,12,12,12,5,3,2,1,1,60,Female
25000,25,White,11,NA,NA,8,1,2,0,0,63,Male
12000,12,White,12,12,12,8,5,2,3,3,43,Female
10000,10,White,11,NA,NA,5,1,1,1,1,47,Female
21000,21,White,12,12,12,6,1,2,2,2,45,Female
26000,26,White,12,12,12,5,1,2,1,1,32,Male
22000,22,Black,12,12,12,8,1,1,0,0,50,Female
23000,23,Black,15,15,15,4,1,2,0,0,54,Female
20000,20,White,15,15,15,8,7,2,1,1,24,Male
10000,10,White,13,13,13,4,1,2,0,0,38,Female
15000,15,White,12,NA,NA,2,1,2,0,0,71,Female
7000,7,Black,14,14,14,5,5,2,1,1,24,Male
15000,15,White,12,12,12,7,1,2,2,2,38,Female
0,0,White,12,12,12,6,1,2,2,2,60,Female
26000,26,White,16,16,16,1,1,1,0,0,34,Female
10000,10,White,11,11,11,7,5,1,0,0,31,Male
0,0,White,8,8,8,1,1,2,0,0,57,Female
3000,3,White,14,14,14,8,5,2,1,1,20,Male
27000,27,Hispanic,17,17,17,2,2,2,1,1,41,Female
25000,25,Black,16,16,16,5,4,1,0,0,52,Male
35000,35,White,18,18,18,8,1,2,0,0,39,Female
28000,28,White,17,17,17,5,7,2,7,7,25,Female
